topic_id_url,topic_name
https://openalex.org/T10539,Sustainable Supply Chain Management
https://openalex.org/T11091,Extraction and Separation Processes
https://openalex.org/T13180,Chemistry and Chemical Engineering
https://openalex.org/T11672,Recycling and utilization of industrial and municipal waste in materials production
https://openalex.org/T13240,Bioeconomy and Sustainability Development
https://openalex.org/T12746,Sustainable Industrial Ecology
https://openalex.org/T13045,Industrial Engineering and Technologies
https://openalex.org/T13477,Sustainable Design and Development
